03/06/2018 analyzed on 07/10/18 frac.diff. = (measured-ideal)/ideal * 1e15
MJD	Al vs Yb frac.diff. from(2.1628871275166585754)	Sr vs Yb frac.diff. from(1.2075070393433381221)	Al/Sr vs Yb frac.diff. from(2.6117014317814574243)	
58183.29167569	NaN	NaN	NaN
58183.29168765	NaN	NaN	NaN
58183.29169960	NaN	NaN	NaN
58183.29171162	NaN	NaN	NaN
58183.29172354	NaN	NaN	NaN
58183.29173550	NaN	NaN	NaN
58183.29174744	NaN	NaN	NaN
58183.29175938	NaN	NaN	NaN
58183.29177133	NaN	NaN	NaN
58183.29178329	NaN	NaN	NaN
58183.29179522	NaN	NaN	NaN
58183.29180716	NaN	NaN	NaN
58183.29181913	NaN	NaN	NaN
58183.29183107	NaN	NaN	NaN
58183.29184300	NaN	NaN	NaN
58183.29185493	NaN	NaN	NaN
58183.29186687	NaN	NaN	NaN
58183.29187882	NaN	NaN	NaN
58183.29189077	NaN	NaN	NaN
58183.29190270	NaN	NaN	NaN
58183.29191464	NaN	NaN	NaN
58183.29192657	NaN	NaN	NaN
58183.29193851	NaN	NaN	NaN
58183.29195044	NaN	NaN	NaN
58183.29196238	NaN	NaN	NaN
58183.29197432	NaN	NaN	NaN
58183.29198625	NaN	NaN	NaN
58183.29199818	NaN	NaN	NaN
58183.29201012	NaN	NaN	NaN
58183.29202207	NaN	NaN	NaN
58183.29203400	NaN	NaN	NaN
58183.29204594	NaN	NaN	NaN
58183.29205787	NaN	NaN	NaN
58183.29206981	NaN	NaN	NaN
58183.29208175	NaN	NaN	NaN
58183.29209369	NaN	NaN	NaN
58183.29210563	NaN	NaN	NaN
58183.29211757	NaN	NaN	NaN
58183.29212950	NaN	NaN	NaN
58183.29214144	NaN	NaN	NaN
58183.29215338	NaN	NaN	NaN
58183.29216531	NaN	NaN	NaN
58183.29217726	NaN	NaN	NaN
58183.29218921	NaN	NaN	NaN
58183.29220115	NaN	NaN	NaN
58183.29221308	NaN	NaN	NaN
58183.29222501	NaN	NaN	NaN
58183.29223695	NaN	NaN	NaN
58183.29224890	NaN	NaN	NaN
58183.29226083	NaN	NaN	NaN
58183.29227278	NaN	NaN	NaN
58183.29228472	NaN	NaN	NaN
58183.29229664	NaN	NaN	NaN
58183.29230858	NaN	NaN	NaN
58183.29232052	NaN	NaN	NaN
58183.29233246	NaN	NaN	NaN
58183.29234439	NaN	NaN	NaN
58183.29235632	NaN	NaN	NaN
58183.29236827	NaN	NaN	NaN
58183.29238020	NaN	NaN	NaN
58183.29239213	NaN	NaN	NaN
58183.29240409	NaN	NaN	NaN
58183.29241602	NaN	NaN	NaN
58183.29242797	NaN	NaN	NaN
58183.29243990	NaN	NaN	NaN
58183.29245183	NaN	NaN	NaN
58183.29246376	NaN	NaN	NaN
58183.29247571	NaN	NaN	NaN
58183.29248764	NaN	NaN	NaN
58183.29249957	NaN	NaN	NaN
58183.29251151	NaN	NaN	NaN
