04/03/2018 analyzed on 07/10/18 frac.diff. = (measured-ideal)/ideal * 1e15
MJD	Al vs Yb frac.diff. from(2.1628871275166585754)	Sr vs Yb frac.diff. from(1.2075070393433381221)	Al/Sr vs Yb frac.diff. from(2.6117014317814574243)	
58211.25000541	NaN	NaN	NaN
58211.25001735	NaN	NaN	NaN
58211.25002934	NaN	NaN	NaN
58211.25004129	NaN	NaN	NaN
58211.25005324	NaN	NaN	NaN
58211.25006519	NaN	NaN	NaN
58211.25007714	NaN	NaN	NaN
58211.25008909	NaN	NaN	NaN
58211.25010103	NaN	NaN	NaN
58211.25011297	NaN	NaN	NaN
58211.25012493	NaN	NaN	NaN
58211.25013688	NaN	NaN	NaN
58211.25014882	NaN	NaN	NaN
58211.25016077	NaN	NaN	NaN
58211.25017272	NaN	NaN	NaN
58211.25018466	NaN	NaN	NaN
58211.25019662	NaN	NaN	NaN
58211.25020858	NaN	NaN	NaN
58211.25022053	NaN	NaN	NaN
58211.25023247	NaN	NaN	NaN
58211.25024443	NaN	NaN	NaN
58211.25025638	NaN	NaN	NaN
58211.25026835	NaN	NaN	NaN
58211.25028031	NaN	NaN	NaN
58211.25029227	NaN	NaN	NaN
58211.25030424	NaN	NaN	NaN
58211.25031620	NaN	NaN	NaN
58211.25032817	NaN	NaN	NaN
58211.25034012	NaN	NaN	NaN
58211.25035206	NaN	NaN	NaN
58211.25036400	NaN	NaN	NaN
58211.25037597	NaN	NaN	NaN
58211.25038791	NaN	NaN	NaN
58211.25039986	NaN	NaN	NaN
58211.25041182	NaN	NaN	NaN
58211.25042378	NaN	NaN	NaN
58211.25043575	NaN	NaN	NaN
58211.25044769	NaN	NaN	NaN
58211.25045963	NaN	NaN	NaN
58211.25047159	NaN	NaN	NaN
58211.25048355	NaN	NaN	NaN
58211.25049550	NaN	NaN	NaN
58211.25050744	NaN	NaN	NaN
58211.25051940	NaN	NaN	NaN
58211.25053134	NaN	NaN	NaN
58211.25054330	NaN	NaN	NaN
58211.25055525	NaN	NaN	NaN
58211.25056721	NaN	NaN	NaN
58211.25057918	NaN	NaN	NaN
58211.25059112	NaN	NaN	NaN
58211.25060308	NaN	NaN	NaN
58211.25061503	NaN	NaN	NaN
58211.25062698	NaN	NaN	NaN
58211.25063894	NaN	NaN	NaN
58211.25065090	NaN	NaN	NaN
58211.25066286	NaN	NaN	NaN
58211.25067482	NaN	NaN	NaN
58211.25068678	NaN	NaN	NaN
58211.25069871	NaN	NaN	NaN
58211.25071065	NaN	NaN	NaN
58211.25072261	NaN	NaN	NaN
58211.25073456	NaN	NaN	NaN
58211.25074651	NaN	NaN	NaN
58211.25075846	NaN	NaN	NaN
58211.25077043	NaN	NaN	NaN
58211.25078238	NaN	NaN	NaN
58211.25079433	NaN	NaN	NaN
58211.25080626	NaN	NaN	NaN
58211.25081821	NaN	NaN	NaN
58211.25083016	NaN	NaN	NaN
58211.25084210	NaN	NaN	NaN
58211.25085406	NaN	NaN	NaN
58211.25086602	NaN	NaN	NaN
58211.25087798	NaN	NaN	NaN
58211.25088992	NaN	NaN	NaN
58211.25090187	NaN	NaN	NaN
58211.25091381	NaN	NaN	NaN
58211.25092577	NaN	NaN	NaN
58211.25093772	NaN	NaN	NaN
58211.25094967	NaN	NaN	NaN
58211.25096162	NaN	NaN	NaN
58211.25097358	NaN	NaN	NaN
58211.25098553	NaN	NaN	NaN
58211.25099747	NaN	NaN	NaN
58211.25100942	NaN	NaN	NaN
58211.25102137	NaN	NaN	NaN
58211.25103331	NaN	NaN	NaN
58211.25104526	NaN	NaN	NaN
58211.25105720	NaN	NaN	NaN
58211.25106915	NaN	NaN	NaN
58211.25108111	NaN	NaN	NaN
58211.25109306	NaN	NaN	NaN
58211.25110501	NaN	NaN	NaN
58211.25111697	NaN	NaN	NaN
58211.25112894	NaN	NaN	NaN
58211.25114089	NaN	NaN	NaN
58211.25115283	NaN	NaN	NaN
58211.25116480	NaN	NaN	NaN
58211.25117675	NaN	NaN	NaN
58211.25118868	NaN	NaN	NaN
58211.25120065	NaN	NaN	NaN
58211.25121261	NaN	NaN	NaN
58211.25122456	NaN	NaN	NaN
58211.25123652	NaN	NaN	NaN
58211.25124847	NaN	NaN	NaN
58211.25126043	NaN	NaN	NaN
58211.25127239	NaN	NaN	NaN
58211.25128434	NaN	NaN	NaN
58211.25129630	NaN	NaN	NaN
58211.25130827	NaN	NaN	NaN
58211.25132023	NaN	NaN	NaN
58211.25133218	NaN	NaN	NaN
58211.25134415	NaN	NaN	NaN
58211.25135610	NaN	NaN	NaN
58211.25136806	NaN	NaN	NaN
58211.25138003	NaN	NaN	NaN
58211.25139200	NaN	NaN	NaN
58211.25140396	NaN	NaN	NaN
58211.25141590	NaN	NaN	NaN
58211.25142788	NaN	NaN	NaN
58211.25143982	NaN	NaN	NaN
58211.25145177	NaN	NaN	NaN
58211.25146372	NaN	NaN	NaN
58211.25147566	NaN	NaN	NaN
58211.25148761	NaN	NaN	NaN
58211.25149955	NaN	NaN	NaN
58211.25151151	NaN	NaN	NaN
58211.25152347	NaN	NaN	NaN
58211.25153545	NaN	NaN	NaN
58211.25154740	NaN	NaN	NaN
58211.25155937	NaN	NaN	NaN
58211.25157131	NaN	NaN	NaN
58211.25158326	NaN	NaN	NaN
58211.25159522	NaN	NaN	NaN
58211.25160716	NaN	NaN	NaN
58211.25161911	NaN	NaN	NaN
58211.25163105	NaN	NaN	NaN
58211.25164300	NaN	NaN	NaN
58211.25165496	NaN	NaN	NaN
58211.25166689	NaN	NaN	NaN
58211.25167885	NaN	NaN	NaN
58211.25169080	NaN	NaN	NaN
58211.25170276	NaN	NaN	NaN
58211.25171470	NaN	NaN	NaN
58211.25172666	NaN	NaN	NaN
58211.25173860	NaN	NaN	NaN
58211.25175057	NaN	NaN	NaN
58211.25176252	NaN	NaN	NaN
58211.25177448	NaN	NaN	NaN
58211.25178644	NaN	NaN	NaN
58211.25179839	NaN	NaN	NaN
58211.25181033	NaN	NaN	NaN
58211.25182230	NaN	NaN	NaN
58211.25183424	NaN	NaN	NaN
58211.25184621	NaN	NaN	NaN
58211.25185817	NaN	NaN	NaN
58211.25187012	NaN	NaN	NaN
58211.25188207	NaN	NaN	NaN
58211.25189402	NaN	NaN	NaN
58211.25190597	NaN	NaN	NaN
58211.25191791	NaN	NaN	NaN
58211.25192986	NaN	NaN	NaN
58211.25194181	NaN	NaN	NaN
58211.25195377	NaN	NaN	NaN
58211.25196572	NaN	NaN	NaN
58211.25197766	NaN	NaN	NaN
58211.25198961	NaN	NaN	NaN
58211.25200156	NaN	NaN	NaN
58211.25201350	NaN	NaN	NaN
58211.25202545	NaN	NaN	NaN
58211.25203739	NaN	NaN	NaN
58211.25204934	NaN	NaN	NaN
58211.25206131	NaN	NaN	NaN
58211.25207325	NaN	NaN	NaN
58211.25208520	NaN	NaN	NaN
58211.25209715	NaN	NaN	NaN
58211.25210911	NaN	NaN	NaN
58211.25212108	NaN	NaN	NaN
58211.25213303	NaN	NaN	NaN
58211.25214498	NaN	NaN	NaN
58211.25215693	NaN	NaN	NaN
58211.25216889	NaN	NaN	NaN
58211.25218082	NaN	NaN	NaN
58211.25219278	NaN	NaN	NaN
58211.25220473	NaN	NaN	NaN
58211.25221668	NaN	NaN	NaN
58211.25222864	NaN	NaN	NaN
58211.25224059	NaN	NaN	NaN
58211.25225255	NaN	NaN	NaN
58211.25226448	NaN	NaN	NaN
58211.25227645	NaN	NaN	NaN
58211.25228840	NaN	NaN	NaN
58211.25230035	NaN	NaN	NaN
58211.25231230	NaN	NaN	NaN
58211.25232424	NaN	NaN	NaN
58211.25233619	NaN	NaN	NaN
58211.25234814	NaN	NaN	NaN
58211.25236011	NaN	NaN	NaN
58211.25237208	NaN	NaN	NaN
58211.25238402	NaN	NaN	NaN
58211.25239597	NaN	NaN	NaN
58211.25240791	NaN	NaN	NaN
58211.25241985	NaN	NaN	NaN
58211.25243182	NaN	NaN	NaN
58211.25244377	NaN	NaN	NaN
58211.25245572	NaN	NaN	NaN
58211.25246767	NaN	NaN	NaN
58211.25247961	NaN	NaN	NaN
58211.25249156	NaN	NaN	NaN
58211.25250350	NaN	NaN	NaN
58211.25251546	NaN	NaN	NaN
58211.25252742	NaN	NaN	NaN
58211.25253937	NaN	NaN	NaN
58211.25255133	NaN	NaN	NaN
58211.25256328	NaN	NaN	NaN
58211.25257523	NaN	NaN	NaN
58211.25258717	NaN	NaN	NaN
58211.25259913	NaN	NaN	NaN
58211.25261107	NaN	NaN	NaN
58211.25262301	NaN	NaN	NaN
58211.25263497	NaN	NaN	NaN
58211.25264692	NaN	NaN	NaN
58211.25265886	NaN	NaN	NaN
58211.25267081	NaN	NaN	NaN
58211.25268278	NaN	NaN	NaN
58211.25269473	NaN	NaN	NaN
58211.25270668	NaN	NaN	NaN
58211.25271863	NaN	NaN	NaN
58211.25273057	NaN	NaN	NaN
58211.25274253	NaN	NaN	NaN
58211.25275447	NaN	NaN	NaN
58211.25276644	NaN	NaN	NaN
58211.25277838	NaN	NaN	NaN
58211.25279033	NaN	NaN	NaN
58211.25280228	NaN	NaN	NaN
58211.25281426	NaN	NaN	NaN
58211.25282621	NaN	NaN	NaN
58211.25283818	NaN	NaN	NaN
58211.25285013	NaN	NaN	NaN
58211.25286208	NaN	NaN	NaN
58211.25287403	NaN	NaN	NaN
58211.25288598	NaN	NaN	NaN
58211.25289793	NaN	NaN	NaN
58211.25290988	NaN	NaN	NaN
58211.25292182	NaN	NaN	NaN
58211.25293380	NaN	NaN	NaN
58211.25294573	NaN	NaN	NaN
58211.25295768	NaN	NaN	NaN
58211.25296962	NaN	NaN	NaN
58211.25298158	NaN	NaN	NaN
58211.25299353	NaN	NaN	NaN
58211.25300549	NaN	NaN	NaN
58211.25301744	NaN	NaN	NaN
58211.25302938	NaN	NaN	NaN
58211.25304135	NaN	NaN	NaN
58211.25305329	NaN	NaN	NaN
58211.25306526	NaN	NaN	NaN
58211.25307720	NaN	NaN	NaN
58211.25308917	NaN	NaN	NaN
58211.25310112	NaN	NaN	NaN
58211.25311307	NaN	NaN	NaN
58211.25312502	NaN	NaN	NaN
58211.25313696	NaN	NaN	NaN
58211.25314890	NaN	NaN	NaN
58211.25316085	NaN	NaN	NaN
58211.25317281	NaN	NaN	NaN
58211.25318478	NaN	NaN	NaN
58211.25319674	NaN	NaN	NaN
58211.25320868	NaN	NaN	NaN
58211.25322063	NaN	NaN	NaN
58211.25323260	NaN	NaN	NaN
58211.25324456	NaN	NaN	NaN
58211.25325650	NaN	NaN	NaN
58211.25326844	NaN	NaN	NaN
58211.25328041	NaN	NaN	NaN
58211.25329238	NaN	NaN	NaN
58211.25330434	NaN	NaN	NaN
58211.25331630	NaN	NaN	NaN
58211.25332825	NaN	NaN	NaN
58211.25334021	NaN	NaN	NaN
58211.25335217	NaN	NaN	NaN
58211.25336411	NaN	NaN	NaN
58211.25337607	NaN	NaN	NaN
58211.25338802	NaN	NaN	NaN
58211.25339998	NaN	NaN	NaN
58211.25341193	NaN	NaN	NaN
58211.25342387	NaN	NaN	NaN
58211.25343582	NaN	NaN	NaN
58211.25344778	NaN	NaN	NaN
58211.25345972	NaN	NaN	NaN
58211.25347167	NaN	NaN	NaN
58211.25348362	NaN	NaN	NaN
58211.25349558	NaN	NaN	NaN
58211.25350752	NaN	NaN	NaN
58211.25351946	NaN	NaN	NaN
58211.25353143	NaN	NaN	NaN
58211.25354338	NaN	NaN	NaN
58211.25355532	NaN	NaN	NaN
58211.25356726	NaN	NaN	NaN
58211.25357923	NaN	NaN	NaN
58211.25359118	NaN	NaN	NaN
58211.25360313	NaN	NaN	NaN
58211.25361508	NaN	NaN	NaN
58211.25362703	NaN	NaN	NaN
58211.25363899	NaN	NaN	NaN
58211.25365093	NaN	NaN	NaN
58211.25366289	NaN	NaN	NaN
58211.25367485	NaN	NaN	NaN
58211.25368680	NaN	NaN	NaN
58211.25369873	NaN	NaN	NaN
58211.25371069	NaN	NaN	NaN
58211.25372264	NaN	NaN	NaN
58211.25373461	NaN	NaN	NaN
58211.25374657	NaN	NaN	NaN
58211.25375851	NaN	NaN	NaN
58211.25377047	NaN	NaN	NaN
58211.25378243	NaN	NaN	NaN
58211.25379440	NaN	NaN	NaN
58211.25380636	NaN	NaN	NaN
58211.25381831	NaN	NaN	NaN
58211.25383027	NaN	NaN	NaN
58211.25384223	NaN	NaN	NaN
58211.25385420	NaN	NaN	NaN
58211.25386614	NaN	NaN	NaN
58211.25387809	NaN	NaN	NaN
58211.25389005	NaN	NaN	NaN
58211.25390201	NaN	NaN	NaN
58211.25391396	NaN	NaN	NaN
58211.25392593	NaN	NaN	NaN
58211.25393790	NaN	NaN	NaN
58211.25394986	NaN	NaN	NaN
58211.25396181	NaN	NaN	NaN
58211.25397375	NaN	NaN	NaN
58211.25398571	NaN	NaN	NaN
58211.25399766	NaN	NaN	NaN
58211.25400960	NaN	NaN	NaN
58211.25402156	NaN	NaN	NaN
58211.25403351	NaN	NaN	NaN
58211.25404546	NaN	NaN	NaN
58211.25405740	NaN	NaN	NaN
58211.25406936	NaN	NaN	NaN
58211.25408131	NaN	NaN	NaN
58211.25409326	NaN	NaN	NaN
58211.25410521	NaN	NaN	NaN
58211.25411717	NaN	NaN	NaN
58211.25412911	NaN	NaN	NaN
58211.25414107	NaN	NaN	NaN
58211.25415304	NaN	NaN	NaN
58211.25416500	NaN	NaN	NaN
58211.25417695	NaN	NaN	NaN
58211.25418892	NaN	NaN	NaN
58211.25420086	NaN	NaN	NaN
58211.25421281	NaN	NaN	NaN
58211.25422476	NaN	NaN	NaN
58211.25423670	NaN	NaN	NaN
58211.25424867	NaN	NaN	NaN
58211.25426061	NaN	NaN	NaN
58211.25427257	NaN	NaN	NaN
58211.25428453	NaN	NaN	NaN
58211.25429650	NaN	NaN	NaN
58211.25430845	NaN	NaN	NaN
58211.25432039	NaN	NaN	NaN
58211.25433234	NaN	NaN	NaN
58211.25434430	NaN	NaN	NaN
58211.25435625	NaN	NaN	NaN
58211.25436819	NaN	NaN	NaN
58211.25438014	NaN	NaN	NaN
58211.25439209	NaN	NaN	NaN
58211.25440405	NaN	NaN	NaN
58211.25441601	NaN	NaN	NaN
58211.25442799	NaN	NaN	NaN
58211.25443994	NaN	NaN	NaN
58211.25445191	NaN	NaN	NaN
58211.25446385	NaN	NaN	NaN
58211.25447581	NaN	NaN	NaN
58211.25448776	NaN	NaN	NaN
58211.25449972	NaN	NaN	NaN
58211.25451167	NaN	NaN	NaN
58211.25452364	NaN	NaN	NaN
58211.25453559	NaN	NaN	NaN
58211.25454756	NaN	NaN	NaN
58211.25455950	NaN	NaN	NaN
58211.25457144	NaN	NaN	NaN
58211.25458339	NaN	NaN	NaN
58211.25459536	NaN	NaN	NaN
58211.25460730	NaN	NaN	NaN
58211.25461927	NaN	NaN	NaN
58211.25463123	NaN	NaN	NaN
58211.25464318	NaN	NaN	NaN
58211.25465512	NaN	NaN	NaN
58211.25466707	NaN	NaN	NaN
58211.25467901	NaN	NaN	NaN
58211.25469097	NaN	NaN	NaN
58211.25470291	NaN	NaN	NaN
58211.25471488	NaN	NaN	NaN
58211.25472684	NaN	NaN	NaN
58211.25473881	NaN	NaN	NaN
58211.25475076	NaN	NaN	NaN
58211.25476273	NaN	NaN	NaN
58211.25477468	NaN	NaN	NaN
58211.25478664	NaN	NaN	NaN
58211.25479860	NaN	NaN	NaN
58211.25481056	NaN	NaN	NaN
58211.25482251	NaN	NaN	NaN
58211.25483447	NaN	NaN	NaN
58211.25484642	NaN	NaN	NaN
58211.25485838	NaN	NaN	NaN
58211.25487032	NaN	NaN	NaN
58211.25488229	NaN	NaN	NaN
58211.25489423	NaN	NaN	NaN
58211.25490619	NaN	NaN	NaN
58211.25491815	NaN	NaN	NaN
58211.25493009	NaN	NaN	NaN
58211.25494204	NaN	NaN	NaN
58211.25495398	NaN	NaN	NaN
58211.25496592	NaN	NaN	NaN
58211.25497789	NaN	NaN	NaN
58211.25498984	NaN	NaN	NaN
58211.25500179	NaN	NaN	NaN
58211.25501373	NaN	NaN	NaN
58211.25502569	NaN	NaN	NaN
58211.25503764	NaN	NaN	NaN
58211.25504958	NaN	NaN	NaN
58211.25506154	NaN	NaN	NaN
58211.25507348	NaN	NaN	NaN
58211.25508544	NaN	NaN	NaN
58211.25509740	NaN	NaN	NaN
58211.25510936	NaN	NaN	NaN
58211.25512132	NaN	NaN	NaN
58211.25513329	NaN	NaN	NaN
58211.25514525	NaN	NaN	NaN
58211.25515720	NaN	NaN	NaN
58211.25516917	NaN	NaN	NaN
58211.25518113	NaN	NaN	NaN
58211.25519309	NaN	NaN	NaN
58211.25520504	NaN	NaN	NaN
58211.25521700	NaN	NaN	NaN
58211.25522896	NaN	NaN	NaN
58211.25524093	NaN	NaN	NaN
58211.25525288	NaN	NaN	NaN
58211.25526483	NaN	NaN	NaN
58211.25527677	NaN	NaN	NaN
58211.25528872	NaN	NaN	NaN
58211.25530067	NaN	NaN	NaN
58211.25531264	NaN	NaN	NaN
58211.25532460	NaN	NaN	NaN
58211.25533656	NaN	NaN	NaN
58211.25534851	NaN	NaN	NaN
58211.25536048	NaN	NaN	NaN
58211.25537243	NaN	NaN	NaN
58211.25538439	NaN	NaN	NaN
58211.25539634	NaN	NaN	NaN
58211.25540829	NaN	NaN	NaN
58211.25542024	NaN	NaN	NaN
58211.25543221	NaN	NaN	NaN
58211.25544416	NaN	NaN	NaN
58211.25545612	NaN	NaN	NaN
58211.25546807	NaN	NaN	NaN
58211.25548004	NaN	NaN	NaN
58211.25549200	NaN	NaN	NaN
58211.25550397	NaN	NaN	NaN
58211.25551593	NaN	NaN	NaN
58211.25552789	NaN	NaN	NaN
58211.25553985	NaN	NaN	NaN
58211.25555178	NaN	NaN	NaN
58211.25556373	NaN	NaN	NaN
58211.25557568	NaN	NaN	NaN
58211.25558764	NaN	NaN	NaN
58211.25559961	NaN	NaN	NaN
58211.25561155	NaN	NaN	NaN
58211.25562353	NaN	NaN	NaN
58211.25563548	NaN	NaN	NaN
58211.25564742	NaN	NaN	NaN
58211.25565937	NaN	NaN	NaN
58211.25567132	NaN	NaN	NaN
58211.25568326	NaN	NaN	NaN
58211.25569521	NaN	NaN	NaN
58211.25570716	NaN	NaN	NaN
58211.25571911	NaN	NaN	NaN
58211.25573105	NaN	NaN	NaN
58211.25574300	NaN	NaN	NaN
58211.25575495	NaN	NaN	NaN
58211.25576689	NaN	NaN	NaN
58211.25577884	NaN	NaN	NaN
58211.25579079	NaN	NaN	NaN
58211.25580277	NaN	NaN	NaN
58211.25581472	NaN	NaN	NaN
58211.25582668	NaN	NaN	NaN
58211.25583863	NaN	NaN	NaN
58211.25585059	NaN	NaN	NaN
58211.25586253	NaN	NaN	NaN
58211.25587448	NaN	NaN	NaN
58211.25588647	NaN	NaN	NaN
58211.25589844	NaN	NaN	NaN
58211.25591039	NaN	NaN	NaN
58211.25592234	NaN	NaN	NaN
58211.25593428	NaN	NaN	NaN
58211.25594623	NaN	NaN	NaN
58211.25595818	NaN	NaN	NaN
58211.25597014	NaN	NaN	NaN
58211.25598210	NaN	NaN	NaN
58211.25599405	NaN	NaN	NaN
58211.25600601	NaN	NaN	NaN
58211.25601796	NaN	NaN	NaN
58211.25602993	NaN	NaN	NaN
58211.25604188	NaN	NaN	NaN
