03/05/2018 analyzed on 07/10/18 frac.diff. = (measured-ideal)/ideal * 1e15
MJD	Al vs Yb frac.diff. from(2.1628871275166585754)	Sr vs Yb frac.diff. from(1.2075070393433381221)	Al/Sr vs Yb frac.diff. from(2.6117014317814574243)	
58182.29166654	NaN	NaN	NaN
58182.29167847	NaN	NaN	NaN
58182.29169041	NaN	NaN	NaN
58182.29170234	NaN	NaN	NaN
58182.29171428	NaN	NaN	NaN
58182.29172621	NaN	NaN	NaN
58182.29173815	NaN	NaN	NaN
58182.29175009	NaN	NaN	NaN
58182.29176202	NaN	NaN	NaN
58182.29177396	NaN	NaN	NaN
58182.29178590	NaN	NaN	NaN
58182.29179783	NaN	NaN	NaN
58182.29180976	NaN	NaN	NaN
58182.29182171	NaN	NaN	NaN
58182.29183363	NaN	NaN	NaN
58182.29184556	NaN	NaN	NaN
58182.29185752	NaN	NaN	NaN
58182.29186945	NaN	NaN	NaN
58182.29188140	NaN	NaN	NaN
58182.29189333	NaN	NaN	NaN
58182.29190528	NaN	NaN	NaN
58182.29191722	NaN	NaN	NaN
58182.29192916	NaN	NaN	NaN
58182.29194115	NaN	NaN	NaN
58182.29195310	NaN	NaN	NaN
58182.29196503	NaN	NaN	NaN
58182.29197696	NaN	NaN	NaN
58182.29198890	NaN	NaN	NaN
58182.29200084	NaN	NaN	NaN
58182.29201278	NaN	NaN	NaN
58182.29202473	NaN	NaN	NaN
58182.29203667	NaN	NaN	NaN
58182.29204861	NaN	NaN	NaN
58182.29206054	NaN	NaN	NaN
58182.29207253	NaN	NaN	NaN
58182.29208448	NaN	NaN	NaN
58182.29209641	NaN	NaN	NaN
58182.29210834	NaN	NaN	NaN
58182.29212027	NaN	NaN	NaN
58182.29213222	NaN	NaN	NaN
58182.29214433	NaN	NaN	NaN
58182.29215634	NaN	NaN	NaN
58182.29216828	NaN	NaN	NaN
58182.29218022	NaN	NaN	NaN
58182.29219215	NaN	NaN	NaN
58182.29220408	NaN	NaN	NaN
